date,longitude,latitude,resight,size
03/08/1917,-47,46,0,BERG
03/10/1917,-47.41666667,47.5,0,BERG
03/10/1917,-47.16666667,46.18333333,0,BERG
03/10/1917,-47.41666667,47.5,0,BBGR
03/10/1917,-47.16666667,46.18333333,0,BBGR
03/10/1917,-47.16666667,46.16666667,0,LG
03/14/1917,-48.5,45.83333333,0,SM
03/14/1917,-48.5,45.83333333,0,SM
03/14/1917,-48.5,44.5,0,SM
03/14/1917,-153.8166667,42.81666667,0,BERG
03/16/1917,-48.81666667,48.13333333,0,SM
03/16/1917,-48.81666667,43.13333333,0,SM
03/18/1917,-50,42.78333333,0,X
03/19/1917,-50.06666667,42.33333333,0,BBGR
03/20/1917,-49.5,44.9,0,BERG
03/21/1917,-49.55,43.66666667,0,BBGR
03/21/1917,-49.33333333,43.78333333,0,X
03/23/1917,-50.66666667,42.9,0,MED
03/23/1917,-50.66666667,42.9,0,BBGR
03/24/1917,-45,45.66666667,0,BBGR
03/24/1917,-44.28333333,45.78333333,0,X
03/27/1917,-51.33333333,46.5,0,BERG
03/29/1917,-50.25,43.01666667,0,BBGR
04/02/1917,-51,42.83333333,0,SM
04/03/1917,-48.23333333,46.18333333,0,SM
04/03/1917,-48.23333333,46.18333333,0,BBGR
04/04/1917,-52,43,0,LG
04/04/1917,-51.35,42.63333333,0,BBGR
04/05/1917,-51.96666667,42.8,0,BBGR
04/10/1917,-52.85,44.51666667,0,SM
04/11/1917,-53.06666667,46.65,0,BERG
04/18/1917,-53.06666667,46.65,0,BERG
04/19/1917,-53.7,43.08333333,0,LG
04/21/1917,-49.03333333,44.46666667,0,MED
04/22/1917,-50,48.16666667,0,BERG
04/22/1917,-50.53333333,47.75,0,BERG
04/23/1917,-52.68333333,47.56666667,0,BBGR
04/24/1917,-52.35,46.18333333,0,X
05/02/1917,-53.06666667,46.56666667,0,BERG
05/03/1917,-53.3,46.48333333,0,LG
05/03/1917,-53.01666667,46.63333333,0,MED
05/04/1917,-49.78333333,45.33333333,0,SM
05/08/1917,-48.91666667,45.58333333,0,BBGR
05/08/1917,-48.91666667,45.75,0,BERG
05/11/1917,-49.91666667,45.68333333,0,SM
05/11/1917,-49.91666667,45.68333333,0,BBGR
05/12/1917,-51.03333333,48.05,0,LG
05/12/1917,-53.26666667,46.45,0,LG
05/17/1917,-42.3,54.93333333,0,LG
05/20/1917,-53.31666667,46.65,0,X
06/02/1917,-50.75,47.76666667,0,LG
06/03/1917,-50,40.5,0,BERG
06/06/1917,-50.41666667,47.3,0,MED
06/07/1917,-51.93333333,47.66666667,0,MED
06/07/1917,-52.1,47.58333333,0,MED
06/07/1917,-51.73333333,47.63333333,0,LG
06/10/1917,-52.23333333,47.03333333,0,LG
06/10/1917,-52.36666667,47.51666667,0,BERG
06/12/1917,-52.55,46.7,0,MED
06/12/1917,-50.75,47.21666667,0,LG
06/12/1917,-50.75,47.21666667,0,BBGR
06/14/1917,-50.63333333,47.16666667,0,LG
06/14/1917,-50.98333333,48.01666667,0,BERG
06/16/1917,-52.65,47.21666667,0,BERG
06/16/1917,-50.83333333,48.21666667,0,LG
06/17/1917,-50.5,49.21666667,0,LG
06/19/1917,-52.73333333,46.58333333,0,LG
06/30/1917,-51.11666667,48.58333333,0,LG
06/30/1917,-51.31666667,48.51666667,0,X
06/30/1917,-52.06666667,48.2,0,X
07/03/1917,-51.3,48.6,0,BERG
07/03/1917,-51.08333333,48.36666667,0,BERG
07/06/1917,-47.56666667,47.26666667,0,BERG
07/07/1917,-51.23333333,48.53333333,0,MED
07/07/1917,-52.58333333,47.9,0,BERG
07/10/1917,-52.06666667,46.98333333,0,MED
07/11/1917,-47.23333333,45.71666667,0,LG
07/12/1917,-47.88333333,45.65,0,MED
07/14/1917,-52.2,47.66666667,0,MED
07/16/1917,-50.83333333,48.71666667,0,LG
07/16/1917,-40.2,44.93333333,0,X
07/17/1917,-45.06666667,42.46666667,0,X
01/01/2100,-52.71666667,48.68333333,0,X
01/01/2100,-52.71666667,48.68333333,0,SM
07/20/1917,-50.66666667,48.2,0,BERG
07/20/1917,-51.83333333,47.8,0,LG
07/25/1917,-50.63333333,48.2,0,LG
07/25/1917,-57.71666667,47.3,0,BERG
07/25/1917,-53.21666667,52.88333333,0,X
07/25/1917,-53.21666667,52.88333333,0,LG
07/25/1917,-50.65,48.26666667,0,BERG
07/25/1917,-51.76666667,47.5,0,BERG
08/13/1917,-49.85,48.78333333,0,SM
08/15/1917,-55.9,51.66666667,0,LG
08/15/1917,-55.43333333,51.66666667,0,MED
08/15/1917,-56.5,51.5,0,BBGR
08/15/1917,-51.3,51.95,0,LG
08/20/1917,-46.33333333,39,0,X
09/19/1917,-53,52.83333333,0,X
11/03/1917,-38.66666667,61.2,0,SM
11/15/1917,-54,49.93333333,0,MED
12/26/1917,-52.78333333,43.13333333,0,BERG
